GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3006G118500	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR34708:SF5)				
SORBI_3004G099800	polynucleotide adenylyltransferase	POLY(A) POLYMERASE (PTHR10682:SF27)	mRNA polyadenylation factor(PC00146)	RNA binding(GO:0003723);nucleotidyltransferase activity(GO:0016779);poly(A) RNA polymerase activity(GO:1990817)	RNA 3'-end processing(GO:0031123)	nucleus(GO:0005634)
SORBI_3003G411500	Myb-like domain-containing protein	TRIHELIX TRANSCRIPTION FACTOR (PTHR33492:SF13)				
SORBI_3005G198600	F-box domain-containing protein	OS08G0328600 PROTEIN (PTHR32141:SF26)				
SORBI_3008G006700	PDZ domain-containing protein	PDZ DOMAIN-CONTAINING PROTEIN (PTHR43019:SF51)	serine protease(PC00203)		proteolysis(GO:0006508)	
SORBI_3008G017500	Uncharacterized protein					
SORBI_3001G308500	Glycosyl transferase family 1 domain-containing protein	GLYCOSYL TRANSFERASE FAMILY 1 DOMAIN-CONTAINING PROTEIN (PTHR46635:SF2)	transferase(PC00220)			
SORBI_3001G166200	Dof zinc finger protein	DOF ZINC FINGER PROTEIN (PTHR31992:SF356)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);metal ion binding(GO:0046872)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3004G291800	Uncharacterized protein					
SORBI_3010G000200	Membrane protein YjcL	PROTEIN, PUTATIVE (DUF819)-RELATED (PTHR34289:SF3)				
SORBI_3008G067900	BZIP domain-containing protein	BASIC-LEUCINE ZIPPER (BZIP) TRANSCRIPTION FACTOR FAMILY PROTEIN (PTHR46835:SF3)	basic leucine zipper transcription factor(PC00056)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3006G224800	Chorein N-terminal domain-containing protein	CHOREIN N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR22774:SF11)				
SORBI_3010G101600	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta	PYROPHOSPHATE--FRUCTOSE 6-PHOSPHATE 1-PHOSPHOTRANSFERASE SUBUNIT BETA 2 (PTHR43650:SF1)	carbohydrate kinase(PC00065)	6-phosphofructokinase activity(GO:0003872);ATP binding(GO:0005524);diphosphate-fructose-6-phosphate 1-phosphotransferase activity(GO:0047334)	fructose 6-phosphate metabolic process(GO:0006002);glycolytic process(GO:0006096);photosynthesis(GO:0015979);glycolytic process through fructose-6-phosphate(GO:0061615)	cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3004G118600	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS02G0266200 PROTEIN (PTHR47932:SF15)				
SORBI_3001G435700	HVA22-like protein	HVA22-LIKE PROTEIN (PTHR12300:SF98)	membrane traffic protein(PC00150)			membrane(GO:0016020)
SORBI_3002G313400	RNA helicase	PRE-MRNA-SPLICING FACTOR ATP-DEPENDENT RNA HELICASE PRP16 (PTHR18934:SF91)	RNA helicase(PC00032)	nucleic acid binding(GO:0003676);RNA helicase activity(GO:0003724);helicase activity(GO:0004386);ATP binding(GO:0005524)		
SORBI_3002G397700	Uncharacterized protein					
SORBI_3001G172000	Mitochondrial import receptor subunit TOM5 homolog	MITOCHONDRIAL IMPORT RECEPTOR SUBUNIT TOM5 HOMOLOG (PTHR37251:SF1)	primary active transporter(PC00068)			mitochondrial outer membrane translocase complex(GO:0005742)
SORBI_3006G038400	Vps72_YL1 C-terminal domain-containing protein	INO80 COMPLEX SUBUNIT C (PTHR31200:SF1)			chromatin remodeling(GO:0006338)	nucleus(GO:0005634);Ino80 complex(GO:0031011)
SORBI_3003G300900	AAA+ ATPase domain-containing protein	KATANIN (PTHR23074:SF171)	non-motor microtubule binding protein(PC00166)	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	meiotic spindle organization(GO:0000212);microtubule severing(GO:0051013)	spindle(GO:0005819)
SORBI_3009G176200	Uncharacterized protein	KINESIN-LIKE PROTEIN (PTHR31016:SF15)				
SORBI_3001G502300	AP2_ERF domain-containing protein	OS04G0257500 PROTEIN (PTHR31190:SF258)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);ethylene-activated signaling pathway(GO:0009873)	nucleus(GO:0005634)
SORBI_3004G201000	RNase H type-1 domain-containing protein	RNASE H TYPE-1 DOMAIN-CONTAINING PROTEIN (PTHR46736:SF96)		nucleic acid binding(GO:0003676);RNA-DNA hybrid ribonuclease activity(GO:0004523)		
SORBI_3001G418800	BGGP Beta-1-3-galactosyl-O-glycosyl-glycoprotein	BETA-GLUCURONOSYLTRANSFERASE GLCAT14C (PTHR45719:SF8)	glycosyltransferase(PC00111)	glucuronosyltransferase activity(GO:0015020);glycosyltransferase activity(GO:0016757)		membrane(GO:0016020)
SORBI_3010G144450	Uncharacterized protein					
SORBI_3007G210500	Uncharacterized protein	ABC TRANSPORTER C FAMILY MEMBER 10 (PTHR24223:SF459)	ATP-binding cassette (ABC) transporter(PC00003)	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3008G021601	BTB domain-containing protein				protein ubiquitination(GO:0016567)	
SORBI_3010G272200	Exocyst subunit Exo70 family protein	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN (PTHR12542:SF137)	membrane traffic protein(PC00150)	phosphatidylinositol-4,5-bisphosphate binding(GO:0005546)	exocytosis(GO:0006887)	exocyst(GO:0000145)
SORBI_3003G237000	Molybdate transporter 2	MOLYBDATE TRANSPORTER 2 (PTHR31970:SF9)		molybdate ion transmembrane transporter activity(GO:0015098)	molybdate ion transport(GO:0015689)	plant-type vacuole membrane(GO:0009705)
SORBI_3010G019300	Nudix hydrolase domain-containing protein	NUDIX HYDROLASE DOMAIN-CONTAINING PROTEIN (PTHR11839:SF18)	pyrophosphatase(PC00196)		ribose phosphate metabolic process(GO:0019693)	
SORBI_3001G053500	DUF1618 domain-containing protein	DUF1618 DOMAIN-CONTAINING PROTEIN (PTHR33086:SF54)				
SORBI_3003G248901	Uncharacterized protein	OS05G0565701 PROTEIN (PTHR33726:SF13)				
SORBI_3002G379400	Protein kinase domain-containing protein	SERINE_THREONINE-PROTEIN KINASE SAPK2 (PTHR24343:SF542)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)	abscisic acid-activated signaling pathway(GO:0009738);seed germination(GO:0009845);seedling development(GO:0090351)	nucleus(GO:0005634);cytoplasm(GO:0005737)
SORBI_3003G209800	Chlorophyll a-b binding protein, chloroplastic	CHLOROPHYLL A-B BINDING PROTEIN 7, CHLOROPLASTIC (PTHR21649:SF188)			photosynthesis, light harvesting(GO:0009765)	chloroplast thylakoid membrane(GO:0009535);membrane(GO:0016020)
SORBI_3003G445800	GATA-type domain-containing protein	GATA ZINC FINGER DOMAIN-CONTAINING PROTEIN 14-RELATED (PTHR47172:SF24)		zinc ion binding(GO:0008270);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	
SORBI_3004G329300	Cytosol aminopeptidase domain-containing protein	CYTOSOL AMINOPEPTIDASE (PTHR11963:SF23)	metalloprotease(PC00153)	aminopeptidase activity(GO:0004177);exopeptidase activity(GO:0008238);manganese ion binding(GO:0030145);metal ion binding(GO:0046872);metalloaminopeptidase activity(GO:0070006)	proteolysis(GO:0006508)	cytoplasm(GO:0005737)
SORBI_3004G344200	TOG domain-containing protein	OS02G0816300 PROTEIN (PTHR21567:SF64)	non-motor microtubule binding protein(PC00166)	microtubule binding(GO:0008017)	microtubule cytoskeleton organization(GO:0000226)	cytoplasmic microtubule(GO:0005881)
SORBI_3001G272900	U-box domain-containing protein	U-BOX DOMAIN-CONTAINING PROTEIN (PTHR22849:SF134)		ubiquitin-protein transferase activity(GO:0004842);ubiquitin protein ligase activity(GO:0061630)	protein ubiquitination(GO:0016567)	
SORBI_3003G368550	Uncharacterized protein					
SORBI_3010G093500	Glycosyltransferase 2-like domain-containing protein	GLUCOMANNAN 4-BETA-MANNOSYLTRANSFERASE 3-RELATED (PTHR32044:SF98)		glucomannan 4-beta-mannosyltransferase activity(GO:0047259);mannan synthase activity(GO:0051753)		Golgi membrane(GO:0000139)
SORBI_3004G264500	Protein MIZU-KUSSEI 1	OS02G0709600 PROTEIN (PTHR31696:SF58)			hydrotropism(GO:0010274)	
SORBI_3004G171900	Uncharacterized protein					
SORBI_3001G166500	Fe2OG dioxygenase domain-containing protein	FE2OG DIOXYGENASE DOMAIN-CONTAINING PROTEIN (PTHR10209:SF870)	oxidoreductase(PC00176)			
SORBI_3009G058100	FHA domain-containing protein	FHA DOMAIN-CONTAINING PROTEIN (PTHR23308:SF53)	RNA splicing factor(PC00148)	mRNA binding(GO:0003729)		
SORBI_3001G428400	Matrin-type domain-containing protein	SPLICING FACTOR 3A SUBUNIT 2 (PTHR23205:SF0)	RNA splicing factor(PC00148)	nucleic acid binding(GO:0003676);zinc ion binding(GO:0008270)	spliceosomal complex assembly(GO:0000245)	nucleus(GO:0005634);U2 snRNP(GO:0005686);U2-type prespliceosome(GO:0071004);catalytic step 2 spliceosome(GO:0071013)
SORBI_3004G023700	tRNA (guanine(26)-N(2))-dimethyltransferase	TRNA (GUANINE(26)-N(2))-DIMETHYLTRANSFERASE (PTHR10631:SF5)	RNA methyltransferase(PC00033)	tRNA binding(GO:0000049);RNA binding(GO:0003723);tRNA (guanine) methyltransferase activity(GO:0016423);tRNA (guanine(26)-N2)-dimethyltransferase activity(GO:0160104)	tRNA modification(GO:0006400);tRNA processing(GO:0008033)	nucleus(GO:0005634)
SORBI_3006G122300	Glycoside hydrolase family 5 domain-containing protein	OS04G0481200 PROTEIN (PTHR31263:SF44)		hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553)	polysaccharide catabolic process(GO:0000272)	
SORBI_3002G124600	SUPPRESSOR OF ABI3-5	FI21118P1 (PTHR13948:SF3)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		nucleus(GO:0005634)
SORBI_3001G003600	Uncharacterized protein	GDSL-LIKE LIPASE_ACYLHYDROLASE FAMILY PROTEIN, EXPRESSED (PTHR45642:SF95)	hydrolase(PC00121)	catalytic activity(GO:0003824);hydrolase activity, acting on ester bonds(GO:0016788);carboxylic ester hydrolase activity(GO:0052689)	lipid biosynthetic process(GO:0008610)	
SORBI_3001G228400	F-box domain-containing protein	OS07G0170800 PROTEIN (PTHR48218:SF3)				
SORBI_3001G483100	Proteasome subunit alpha type	PROTEASOME SUBUNIT ALPHA TYPE-6 (PTHR11599:SF11)	protease(PC00190)		ubiquitin-dependent protein catabolic process(GO:0006511);protein catabolic process(GO:0030163);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161)	nucleus(GO:0005634);cytoplasm(GO:0005737);proteasome core complex(GO:0005839);proteasome core complex, alpha-subunit complex(GO:0019773)
SORBI_3001G012900	Conserved oligomeric Golgi complex subunit 2	CONSERVED OLIGOMERIC GOLGI COMPLEX SUBUNIT 2 (PTHR12961:SF0)		protein homodimerization activity(GO:0042803)	intra-Golgi vesicle-mediated transport(GO:0006891);Golgi organization(GO:0007030);protein transport(GO:0015031);regulation of exocyst localization(GO:0060178)	Golgi membrane(GO:0000139);membrane(GO:0016020);COG complex(GO:0017119);cytoplasmic vesicle(GO:0031410)
SORBI_3001G392100	Pentatricopeptide repeat-containing protein	OS03G0314400 PROTEIN (PTHR47928:SF42)		RNA binding(GO:0003723)	RNA modification(GO:0009451)	
SORBI_3006G043300	Uncharacterized protein					
SORBI_3008G026800	NPH3 domain-containing protein	PHOTOTROPIC-RESOPONSIVE NPH3 FAMILY PROTEIN-RELATED (PTHR32370:SF169)			phototropism(GO:0009638);protein ubiquitination(GO:0016567)	nucleus(GO:0005634);cytoplasm(GO:0005737)
SORBI_3003G273900	Uncharacterized protein	OS01G0708900 PROTEIN (PTHR24089:SF463)	mitochondrial carrier protein(PC00158)		organophosphate ester transport(GO:0015748);transmembrane transport(GO:0055085)	mitochondrial inner membrane(GO:0005743);membrane(GO:0016020)
SORBI_3006G198500	SNARE associated Golgi protein	OS04G0592600 PROTEIN (PTHR43220:SF6)			autophagosome assembly(GO:0000045)	membrane(GO:0016020)
SORBI_3010G071650	Uncharacterized protein					
SORBI_3003G009800	DUF1618 domain-containing protein	DUF1618 DOMAIN-CONTAINING PROTEIN (PTHR33086:SF58)				
SORBI_3007G069000	lactoylglutathione lyase	LACTOYLGLUTATHIONE LYASE (PTHR46036:SF7)	lyase(PC00144)	lactoylglutathione lyase activity(GO:0004462);metal ion binding(GO:0046872)		
SORBI_3001G029400	Uncharacterized protein	RNA-BINDING MOTIF PROTEIN, X-LINKED 2 (PTHR45880:SF1)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723);metal ion binding(GO:0046872)	mRNA splicing, via spliceosome(GO:0000398)	U2 snRNP(GO:0005686);precatalytic spliceosome(GO:0071011);catalytic step 2 spliceosome(GO:0071013)
SORBI_3004G274400	histone acetyltransferase	N-ALPHA-ACETYLTRANSFERASE 60 (PTHR14744:SF15)	acetyltransferase(PC00038)	protein-N-terminal amino-acid acetyltransferase activity(GO:0004596);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747);protein-lysine-acetyltransferase activity(GO:0061733);protein N-terminal-methionine acetyltransferase activity(GO:0120518)		
SORBI_3010G098866	Uncharacterized protein					
SORBI_3001G352900	Intron-binding protein aquarius	RNA HELICASE AQUARIUS (PTHR10887:SF5)	RNA helicase(PC00032)	helicase activity(GO:0004386)	mRNA splicing, via spliceosome(GO:0000398)	nucleus(GO:0005634);spliceosomal complex(GO:0005681);catalytic step 2 spliceosome(GO:0071013)
SORBI_3003G273200	BHLH domain-containing protein	TRANSCRIPTION FACTOR BHLH87 (PTHR45914:SF12)	DNA-binding transcription factor(PC00218)	DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3001G100600	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR33983:SF20)				
SORBI_3003G188500	RWD domain-containing protein	RWD DOMAIN-CONTAINING PROTEIN 1 (PTHR12292:SF2)			cytoplasmic translation(GO:0002181)	
SORBI_3005G119950	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3006G015300	DUF4220 domain-containing protein	OS04G0139400 PROTEIN (PTHR31325:SF90)				
SORBI_3010G063066	Phytocyanin domain-containing protein					
SORBI_3007G175100	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR33070:SF57)			root development(GO:0048364);shoot system development(GO:0048367)	
SORBI_3006G183000	E3 ubiquitin-protein ligase	OS04G0568900 PROTEIN (PTHR45977:SF48)		ubiquitin protein ligase activity(GO:0061630)		membrane(GO:0016020)
SORBI_3001G426800	RRM domain-containing protein	SERINE_ARGININE-RICH SPLICING FACTOR SR45A (PTHR48034:SF24)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)	mRNA splicing, via spliceosome(GO:0000398)	spliceosomal complex(GO:0005681)
SORBI_3003G310200	Copper transport protein	COPPER TRANSPORTER 3 (PTHR12483:SF117)	secondary carrier transporter(PC00258)	copper ion transmembrane transporter activity(GO:0005375)	copper ion transmembrane transport(GO:0035434)	membrane(GO:0016020)
SORBI_3006G137900	HMA domain-containing protein	OS04G0502000 PROTEIN (PTHR22814:SF311)		metal ion binding(GO:0046872)		
SORBI_3006G022301	Uncharacterized protein	OS04G0208900 PROTEIN (PTHR36619:SF2)				
SORBI_3006G076700	Uncharacterized protein					
SORBI_3001G268700	Alpha-mannosidase	ALPHA-MANNOSIDASE (PTHR11607:SF61)	glycosidase(PC00110)	alpha-mannosidase activity(GO:0004559);carbohydrate binding(GO:0030246)	carbohydrate metabolic process(GO:0005975);mannose metabolic process(GO:0006013)	
SORBI_3001G505066	Uncharacterized protein					
SORBI_3004G003700	Myb-like domain-containing protein	OS02G0104500 PROTEIN (PTHR21654:SF31)			regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3004G020500	Uncharacterized protein	EXPRESSED PROTEIN (PTHR35832:SF6)			cell surface receptor signaling pathway(GO:0007166)	
SORBI_3010G142700	Uncharacterized protein					
SORBI_3008G075600	Uncharacterized protein					
SORBI_3007G137750	Uncharacterized protein					
SORBI_3001G465500	Radical SAM core domain-containing protein	RADICAL SAM SUPERFAMILY PROTEIN (PTHR30544:SF8)	RNA methyltransferase(PC00033)	catalytic activity(GO:0003824);RNA methyltransferase activity(GO:0008173);iron-sulfur cluster binding(GO:0051536)	rRNA processing(GO:0006364);tRNA methylation(GO:0030488);rRNA base methylation(GO:0070475)	cytoplasm(GO:0005737)
SORBI_3009G116900	CW-type domain-containing protein	CYSTEINE-TRYPTOPHAN DOMAIN-CONTAINING ZINC FINGER PROTEIN 5 (PTHR46524:SF2)		zinc ion binding(GO:0008270);sequence-specific DNA binding(GO:0043565)	positive regulation of DNA-templated transcription(GO:0045893)	nucleus(GO:0005634)
SORBI_3001G137100	Homeobox domain-containing protein	ASSOCIATED WITH HOX FAMILY PROTEIN, EXPRESSED (PTHR11850:SF375)	homeodomain transcription factor(PC00119)	RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634)
SORBI_3008G183700	Haloacid dehalogenase-like hydrolase domain-containing protein	PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR42896:SF3)	phosphatase(PC00181)	hydrolase activity(GO:0016787)		
SORBI_3004G240400	Uncharacterized protein			nucleotide binding(GO:0000166);aminoacyl-tRNA ligase activity(GO:0004812);tyrosine-tRNA ligase activity(GO:0004831);ATP binding(GO:0005524)	tRNA aminoacylation for protein translation(GO:0006418)	
SORBI_3009G211300	MATH domain-containing protein	ANKYRIN REPEAT-CONTAINING PROTEIN-RELATED (PTHR46162:SF2)				
SORBI_3001G006201	Fe2OG dioxygenase domain-containing protein	OS03G0856000 PROTEIN (PTHR47991:SF204)	oxygenase(PC00177)			
SORBI_3002G135800	chlorophyllase	CHLOROPHYLLASE-1 (PTHR33428:SF10)		chlorophyllase activity(GO:0047746)	chlorophyll catabolic process(GO:0015996)	cytosol(GO:0005829)
SORBI_3004G298900	Uncharacterized protein	OS02G0651300 PROTEIN (PTHR15852:SF24)			response to light stimulus(GO:0009416)	nucleus(GO:0005634);cytoplasm(GO:0005737);chloroplast(GO:0009507)
SORBI_3003G314500	Uncharacterized protein	EXPRESSED PROTEIN (PTHR36737:SF1)				
SORBI_3007G222100	Uncharacterized protein					
SORBI_3004G322800	Uncharacterized protein	TRANSCRIPTION FACTOR MYB36 (PTHR48000:SF69)				nucleus(GO:0005634)
SORBI_3004G067850	Uncharacterized protein					
SORBI_3003G133800	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein	LEUCINE-RICH REPEAT-CONTAINING N-TERMINAL PLANT-TYPE DOMAIN-CONTAINING PROTEIN (PTHR48054:SF42)	transmembrane signal receptor(PC00197)			
SORBI_3003G445000	Pectin acetylesterase	PECTIN ACETYLESTERASE (PTHR21562:SF44)		hydrolase activity(GO:0016787)		
SORBI_3007G136700	YGL010w-like protein	OS08G0433600 PROTEIN (PTHR28026:SF5)				
SORBI_3001G395300	ATP-dependent Clp protease proteolytic subunit	ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT (PTHR10381:SF48)	serine protease(PC00203)	ATP-dependent peptidase activity(GO:0004176);serine-type endopeptidase activity(GO:0004252);ATPase binding(GO:0051117)	proteolysis(GO:0006508);protein quality control for misfolded or incompletely synthesized proteins(GO:0006515)	plastid(GO:0009536)
SORBI_3010G059800	Fe2OG dioxygenase domain-containing protein	OS06G0176300 PROTEIN (PTHR47991:SF98)	oxygenase(PC00177)			
SORBI_3010G161300	Protein kinase domain-containing protein	CALMODULIN-BINDING RECEPTOR KINASE CAMRLK (PTHR48006:SF10)		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3007G165600	Peptidase M1 leukotriene A4 hydrolase_aminopeptidase C-terminal domain-containing protein	PUROMYCIN-SENSITIVE AMINOPEPTIDASE (PTHR46322:SF1)		aminopeptidase activity(GO:0004177);metallopeptidase activity(GO:0008237);zinc ion binding(GO:0008270);alanyl aminopeptidase activity(GO:0016285)	proteolysis(GO:0006508)	
SORBI_3002G045600	Transcriptional regulator SLK2	CHIP, ISOFORM B (PTHR10378:SF19)	transcription cofactor(PC00217)		negative regulation of transcription by RNA polymerase II(GO:0000122);positive regulation of transcription by RNA polymerase II(GO:0045944)	nucleus(GO:0005634);transcription regulator complex(GO:0005667)
SORBI_3004G047800	O-fucosyltransferase family protein	PROTEIN PECTIC ARABINOGALACTAN SYNTHESIS-RELATED (PTHR31933:SF1)	protein modifying enzyme(PC00260)			membrane(GO:0016020)
SORBI_3005G096932	Uncharacterized protein					
SORBI_3009G137900	F-box domain-containing protein	OS01G0730200 PROTEIN (PTHR31639:SF285)				
SORBI_3005G083932	PGG domain-containing protein	ANKYRIN REPEAT FAMILY PROTEIN (PTHR24121:SF21)				
SORBI_3008G109100	Ubiquitin-like protease family profile domain-containing protein	UBIQUITIN-LIKE PROTEASE FAMILY PROFILE DOMAIN-CONTAINING PROTEIN (PTHR34835:SF69)				
SORBI_3007G071950	Uncharacterized protein	NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR45752:SF189)	scaffold/adaptor protein(PC00226)		intracellular signal transduction(GO:0035556)	
SORBI_3008G007300	HIT-type domain-containing protein	ZGC:112524 (PTHR13093:SF0)	chromatin/chromatin-binding, or -regulatory protein(PC00077)	zinc ion binding(GO:0008270);nucleosome binding(GO:0031491)	chromatin remodeling(GO:0006338)	nucleus(GO:0005634)
SORBI_3004G111600	Uncharacterized protein					
SORBI_3001G003000	OTU domain-containing protein	OVARIAN TUMOR DOMAIN-CONTAINING DEUBIQUITINATING ENZYME 9 (PTHR12419:SF111)	cysteine protease(PC00081)	cysteine-type deubiquitinase activity(GO:0004843)		plasma membrane(GO:0005886)
SORBI_3001G261300	Uncharacterized protein	AMINOTRANSFERASE-LIKE PLANT MOBILE DOMAIN-CONTAINING PROTEIN (PTHR48243:SF1)				
SORBI_3008G128900	DNA-directed RNA polymerase subunit	DNA-DIRECTED RNA POLYMERASE II SUBUNIT RPB9 (PTHR11239:SF1)	DNA-directed RNA polymerase(PC00019)	nucleic acid binding(GO:0003676);DNA-directed RNA polymerase activity(GO:0003899);zinc ion binding(GO:0008270)	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II(GO:0001193);transcription-coupled nucleotide-excision repair(GO:0006283);DNA-templated transcription(GO:0006351);transcription initiation at RNA polymerase II promoter(GO:0006367)	RNA polymerase V complex(GO:0000419);RNA polymerase II, core complex(GO:0005665);nucleolus(GO:0005730)
SORBI_3003G035801	Ubiquitin-like protease family profile domain-containing protein	UBIQUITIN-LIKE PROTEASE FAMILY PROFILE DOMAIN-CONTAINING PROTEIN (PTHR12606:SF150)	protease(PC00190)	cysteine-type peptidase activity(GO:0008234);deSUMOylase activity(GO:0016929)	proteolysis(GO:0006508)	
SORBI_3003G376100	Extradiol ring-cleavage dioxygenase class III enzyme subunit B domain-containing protein	OS01G0878900 PROTEIN (PTHR30096:SF22)		ferrous iron binding(GO:0008198);zinc ion binding(GO:0008270);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);dioxygenase activity(GO:0051213)		
SORBI_3003G253100	Uncharacterized protein					
SORBI_3009G067400	Uncharacterized protein	OS05G0181300 PROTEIN (PTHR46610:SF20)				
SORBI_3010G279700	PA domain-containing protein	SIGNAL PEPTIDE PEPTIDASE-LIKE 5 (PTHR12174:SF62)	aspartic protease(PC00053)	aspartic endopeptidase activity, intramembrane cleaving(GO:0042500)	membrane protein proteolysis(GO:0033619)	lysosomal membrane(GO:0005765);endosome(GO:0005768);endosome membrane(GO:0010008);membrane(GO:0016020);Golgi-associated vesicle membrane(GO:0030660);lumenal side of endoplasmic reticulum membrane(GO:0098553);cytoplasmic side of endoplasmic reticulum membrane(GO:0098554)
SORBI_3005G156850	Uncharacterized protein					
SORBI_3010G211000	NAD(P)-binding domain-containing protein	OS06G0651100 PROTEIN (PTHR10366:SF746)	dehydratase(PC00091)			
SORBI_3004G086200	PPIase cyclophilin-type domain-containing protein	PPIASE CYCLOPHILIN-TYPE DOMAIN-CONTAINING PROTEIN (PTHR11071:SF564)	chaperone(PC00072)	peptidyl-prolyl cis-trans isomerase activity(GO:0003755);cyclosporin A binding(GO:0016018)	protein folding(GO:0006457)	
SORBI_3007G044000	Uncharacterized protein					
SORBI_3003G298900	1,3-beta-glucan synthase	CALLOSE SYNTHASE 12 (PTHR12741:SF7)		1,3-beta-D-glucan synthase activity(GO:0003843)	(1->3)-beta-D-glucan biosynthetic process(GO:0006075)	1,3-beta-D-glucan synthase complex(GO:0000148);plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3001G356000	Uncharacterized protein	MYB TRANSCRIPTION FACTOR MYB30 (PTHR10641:SF1094)	homeodomain transcription factor(PC00119)	DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);regulation of lignin biosynthetic process(GO:1901141)	nucleus(GO:0005634)
SORBI_3005G102700	Uncharacterized protein					
SORBI_3001G343832	3-beta hydroxysteroid dehydrogenase_isomerase domain-containing protein			oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)	steroid biosynthetic process(GO:0006694)	
SORBI_3004G101000	BHLH domain-containing protein	TRANSCRIPTION FACTOR BHLH162 (PTHR13935:SF90)	basic helix-loop-helix transcription factor(PC00055)	RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)	RNA polymerase II transcription regulator complex(GO:0090575)
SORBI_3004G281900	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE, CHLOROPLASTIC (PTHR43181:SF1)		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity(GO:0008685)	terpenoid biosynthetic process(GO:0016114);isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway(GO:0019288);terpenoid biosynthetic process, mevalonate-independent(GO:0051483)	chloroplast(GO:0009507)
SORBI_3003G121400	Dof-type domain-containing protein	CYCLIC DOF FACTOR 2 (PTHR31089:SF75)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
