GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3010G136400	Uncharacterized protein					
SORBI_3003G419600	Uncharacterized protein	DISEASE RESISTANCE PROTEIN RGA3 (PTHR36766:SF40)		ADP binding(GO:0043531)	defense response(GO:0006952);response to other organism(GO:0051707)	
SORBI_3010G032600	Cytochrome c oxidase subunit Vb	"CYTOCHROME C OXIDASE SUBUNIT 5B, ISOFORM A-RELATED (PTHR10122:SF0)"	oxidase(PC00175)		"mitochondrial electron transport, cytochrome c to oxygen(GO:0006123)"	mitochondrial envelope(GO:0005740);respiratory chain complex IV(GO:0045277)
SORBI_3002G107900	Protein kinase domain-containing protein	OS07G0283125 PROTEIN (PTHR27007:SF25)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);carbohydrate binding(GO:0030246)	negative regulation of response to salt stress(GO:1901001)	plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3001G419100	Uncharacterized protein			ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)		
SORBI_3002G199300	Uncharacterized protein					
SORBI_3002G306300	Nucleobase-ascorbate transporter 11	NUCLEOBASE-ASCORBATE TRANSPORTER 11 (PTHR11119:SF54)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3006G035600	Kinesin motor domain-containing protein	KINESIN-LIKE PROTEIN KIF15 (PTHR24115:SF1004)	microtubule binding motor protein(PC00156)	nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017)	microtubule-based movement(GO:0007018)	kinesin complex(GO:0005871);phragmoplast(GO:0009524)
SORBI_3010G152250	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3003G033100	TRAM domain-containing protein	TRNA (URACIL(54)-C(5))-METHYLTRANSFERASE (PTHR11061:SF30)	RNA methyltransferase(PC00033)	mRNA binding(GO:0003729);RNA methyltransferase activity(GO:0008173);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757)	RNA processing(GO:0006396)	
SORBI_3010G086500	Glycoside hydrolase family 5 domain-containing protein	FASCIN-2 (PTHR10551:SF9)	non-motor actin binding protein(PC00165)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);actin filament binding(GO:0051015)"	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);actin filament organization(GO:0007015);establishment or maintenance of cell polarity(GO:0007163);cell migration(GO:0016477);actin filament bundle assembly(GO:0051017)	cytoplasm(GO:0005737);actin cytoskeleton(GO:0015629)
SORBI_3010G149500	BTB domain-containing protein	BTB_POZ DOMAIN-CONTAINING PROTEIN POB1 (PTHR46336:SF3)				
SORBI_3010G158500	RING-type domain-containing protein	OS06G0540050 PROTEIN (PTHR22765:SF141)	ubiquitin-protein ligase(PC00234)	ubiquitin protein ligase activity(GO:0061630)	ubiquitin-dependent protein catabolic process(GO:0006511)	
SORBI_3006G010800	EF-hand domain-containing protein	OS05G0147300 PROTEIN (PTHR10891:SF746)	calmodulin-related(PC00061)	calcium ion binding(GO:0005509)		
SORBI_3003G110400	Inosine_uridine-preferring nucleoside hydrolase domain-containing protein	URIDINE NUCLEOSIDASE (PTHR12304:SF4)	hydrolase(PC00121)	"purine nucleosidase activity(GO:0008477);hydrolase activity, hydrolyzing N-glycosyl compounds(GO:0016799);UDP-glucosyltransferase activity(GO:0035251);uridine nucleosidase activity(GO:0045437);protein heterodimerization activity(GO:0046982);inosine nucleosidase activity(GO:0047724)"	purine nucleoside catabolic process(GO:0006152);ribonucleoside catabolic process(GO:0042454)	cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3008G110400	Uncharacterized protein	"HAEMOLYSIN-III RELATED FAMILY PROTEIN, EXPRESSED (PTHR20855:SF105)"	G-protein coupled receptor(PC00021)	signaling receptor activity(GO:0038023)	response to hormone(GO:0009725);response to sucrose(GO:0009744)	membrane(GO:0016020)
SORBI_3002G021500	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR32133:SF327)				
SORBI_3001G221500	glutamate--tRNA ligase	GLUTAMATE--TRNA LIGASE (PTHR43097:SF5)	aminoacyl-tRNA synthetase(PC00047)	nucleotide binding(GO:0000166);aminoacyl-tRNA ligase activity(GO:0004812);glutamate-tRNA ligase activity(GO:0004818);ATP binding(GO:0005524)	translation(GO:0006412);tRNA aminoacylation for protein translation(GO:0006418);glutamyl-tRNA aminoacylation(GO:0006424);post-embryonic development(GO:0009791);tRNA aminoacylation(GO:0043039);reproductive structure development(GO:0048608)	cytoplasm(GO:0005737);cytosol(GO:0005829);methionyl glutamyl tRNA synthetase complex(GO:0017102);protein-containing complex(GO:0032991)
SORBI_3007G013700	Uncharacterized protein					
SORBI_3001G302200	Glucuronosyltransferase PGSIP8	GLYCOGENIN GLUCOSYLTRANSFERASE (PTHR11183:SF60)	glycosyltransferase(PC00111)			
SORBI_3001G496100	Uncharacterized protein					
SORBI_3001G164200	Uncharacterized protein	CYTOCHROME P450 FAMILY 87 SUBFAMILY A POLYPEPTIDE 2 (PTHR24286:SF216)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		membrane(GO:0016020)
SORBI_3002G162450	Uncharacterized protein					
SORBI_3002G113600	Rho-GAP domain-containing protein	OS07G0408500 PROTEIN (PTHR23177:SF56)	cytoskeletal protein(PC00085)	GTPase activator activity(GO:0005096)	signal transduction(GO:0007165)	
SORBI_3009G246100	X8 domain-containing protein	OS05G0581900 PROTEIN (PTHR31044:SF85)				
SORBI_3003G233000	Glycosyltransferase	GLYCOSYLTRANSFERASE (PTHR48049:SF128)	glycosyltransferase(PC00111)	UDP-glycosyltransferase activity(GO:0008194)		
SORBI_3001G018600	4-hydroxyphenylacetaldehyde oxime monooxygenase	EUPATOLIDE SYNTHASE (PTHR47956:SF28)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		
SORBI_3004G115200	Myb_SANT-like domain-containing protein	MYB_SANT-LIKE DOMAIN-CONTAINING PROTEIN (PTHR47127:SF6)				
SORBI_3008G032701	HMA domain-containing protein			metal ion binding(GO:0046872)		
SORBI_3003G422900	RRM domain-containing protein	OS01G0945800 PROTEIN (PTHR48027:SF15)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
SORBI_3003G415900	HMA domain-containing protein	OS01G0933200 PROTEIN (PTHR45868:SF9)		metal ion binding(GO:0046872)		
SORBI_3002G117400	C2H2-type domain-containing protein	OS07G0419800 PROTEIN (PTHR31197:SF7)				
SORBI_3009G133800	Inosine_uridine-preferring nucleoside hydrolase domain-containing protein	OS05G0406100 PROTEIN (PTHR46692:SF5)	hydrolase(PC00121)	"hydrolase activity, hydrolyzing N-glycosyl compounds(GO:0016799)"		
SORBI_3004G045100	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein	LEUCINE-RICH REPEAT-CONTAINING N-TERMINAL PLANT-TYPE DOMAIN-CONTAINING PROTEIN (PTHR27000:SF752)	transmembrane signal receptor(PC00197)		signal transduction(GO:0007165)	plasma membrane(GO:0005886)
SORBI_3004G062300	FAS1 domain-containing protein	FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 3 (PTHR32382:SF34)	cell adhesion molecule(PC00069)			plasma membrane(GO:0005886)
SORBI_3003G415700	Knottin scorpion toxin-like domain-containing protein (Fragment)	KNOTTIN SCORPION TOXIN-LIKE DOMAIN-CONTAINING PROTEIN (PTHR33147:SF152)	antimicrobial response protein(PC00051)		defense response(GO:0006952)	
SORBI_3004G329000	Carboxypeptidase	SERINE CARBOXYPEPTIDASE 24 (PTHR11802:SF25)	serine protease(PC00203)	serine-type carboxypeptidase activity(GO:0004185)	proteolysis(GO:0006508)	
SORBI_3002G265500	Glycosyltransferase	GLYCOSYLTRANSFERASE (PTHR11926:SF1265)	transferase(PC00220)	UDP-glycosyltransferase activity(GO:0008194);glycosyltransferase activity(GO:0016757)		
SORBI_3006G010000	FCP1 homology domain-containing protein	CTD SMALL PHOSPHATASE-LIKE PROTEIN 3 (PTHR12210:SF13)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);phosphatase activity(GO:0016791)	positive regulation of gluconeogenesis(GO:0045722)	nucleus(GO:0005634)
SORBI_3001G293700	Vacuolar protein sorting-associated protein 13 VPS13 adaptor binding domain-containing protein					
SORBI_3010G222200	BTB domain-containing protein	OS06G0251200 PROTEIN (PTHR26379:SF191)			protein ubiquitination(GO:0016567)	
SORBI_3001G499500	HTH La-type RNA-binding domain-containing protein	LA-RELATED PROTEIN 1 (PTHR22792:SF132)	RNA metabolism protein(PC00031)	RNA binding(GO:0003723);mRNA binding(GO:0003729)		cytoplasm(GO:0005737)
SORBI_3004G197700	DUF4283 domain-containing protein	PTB DOMAIN ENGULFMENT ADAPTER (PTHR36342:SF1)	membrane trafficking regulatory protein(PC00151)			
SORBI_3001G002000	Protein kinase domain-containing protein	AT08303P (PTHR23257:SF963)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)	signal transduction(GO:0007165);regulation of auxin mediated signaling pathway(GO:0010928);cellular response to auxin stimulus(GO:0071365)	cytoplasm(GO:0005737)
SORBI_3005G121300	HVA22-like protein	HVA22-LIKE PROTEIN (PTHR12300:SF123)	membrane traffic protein(PC00150)			membrane(GO:0016020)
SORBI_3010G143500	Pyruvate phosphate dikinase AMP_ATP-binding domain-containing protein	"ALPHA-GLUCAN WATER DIKINASE 1, CHLOROPLASTIC (PTHR46999:SF1)"	kinase(PC00137)	"mRNA binding(GO:0003729);ATP binding(GO:0005524);kinase activity(GO:0016301);alpha-glucan, water dikinase activity(GO:0050521)"		
SORBI_3005G224300	O-methyltransferase domain-containing protein	O-METHYLTRANSFERASE 2-RELATED (PTHR11746:SF180)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);O-methyltransferase activity(GO:0008171);protein dimerization activity(GO:0046983)	methylation(GO:0032259)	
SORBI_3005G183100	Sulfotransferase	SULFOTRANSFERASE (PTHR11783:SF194)	transferase(PC00220)	sulfotransferase activity(GO:0008146)	sulfation(GO:0051923)	
SORBI_3001G098500	CBS domain-containing protein	CBS DOMAIN-CONTAINING PROTEIN (PTHR43080:SF2)				
SORBI_3002G223300	Nucleoporin NSP1-like C-terminal domain-containing protein	NUCLEOPORIN P58_P45 (PTHR13437:SF2)	transporter(PC00227)	nuclear localization sequence binding(GO:0008139);structural constituent of nuclear pore(GO:0017056)	nucleocytoplasmic transport(GO:0006913)	nuclear envelope(GO:0005635);nuclear pore(GO:0005643)
SORBI_3010G150800	Cytoplasmic tRNA 2-thiolation protein 1 C-terminal domain-containing protein	CYTOPLASMIC TRNA 2-THIOLATION PROTEIN (PTHR33513:SF45)				
SORBI_3001G024250	Pectinesterase inhibitor domain-containing protein					
SORBI_3003G089100	Uncharacterized protein	WD REPEAT-CONTAINING PROTEIN 1 (PTHR19856:SF0)	non-motor actin binding protein(PC00165)	actin binding(GO:0003779)	actin filament-based process(GO:0030029)	cortical actin cytoskeleton(GO:0030864)
SORBI_3002G097100	FBD domain-containing protein	OS12G0595200 PROTEIN (PTHR32141:SF168)				
SORBI_3003G107700	OTU domain-containing protein	OS01G0102500 PROTEIN (PTHR36068:SF1)				
SORBI_3008G022400	Pentacotripeptide-repeat region of PRORP domain-containing protein	PPR CONTAINING-LIKE PROTEIN (PTHR47603:SF1)				
SORBI_3001G254150	Uncharacterized protein					
SORBI_3002G116600	C2H2-type domain-containing protein	C2H2 AND C2HC ZINC FINGERS SUPERFAMILY PROTEIN (PTHR45801:SF114)			regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3009G043800	NAD-dependent epimerase_dehydratase domain-containing protein	DIHYDROFLAVONOL 4-REDUCTASE (PTHR10366:SF720)	dehydratase(PC00091)			
SORBI_3010G130800	4-coumarate--CoA ligase	4-COUMARATE--COA LIGASE (PTHR43859:SF69)	ligase(PC00142)	4-coumarate-CoA ligase activity(GO:0016207);trans-cinnamate-CoA ligase activity(GO:0106290)	phenylpropanoid metabolic process(GO:0009698)	
SORBI_3009G020700	Ubiquitin-like domain-containing protein	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 298 (PTHR13238:SF0)				
SORBI_3006G000700	Uncharacterized protein					
SORBI_3003G186300	Uncharacterized protein	MEMBRANE-ASSOCIATED KINASE REGULATOR 6 (PTHR34371:SF6)				
SORBI_3006G017200	NB-ARC domain-containing protein	NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR33463:SF103)				
SORBI_3004G105100	Peroxidase	PEROXIDASE (PTHR31388:SF285)	peroxidase(PC00180)	peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
SORBI_3008G081200	Major facilitator superfamily (MFS) profile domain-containing protein	OS12G0231000 PROTEIN (PTHR11654:SF21)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3003G107800	"Thylakoid lumenal 17.9 kDa protein, chloroplastic"	"THYLAKOID LUMENAL 17.9 KDA PROTEIN, CHLOROPLASTIC (PTHR36783:SF2)"				
SORBI_3010G049900	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33110:SF65)				
SORBI_3002G100832	Dirigent protein	DIRIGENT PROTEIN (PTHR46506:SF51)			phenylpropanoid biosynthetic process(GO:0009699)	apoplast(GO:0048046)
SORBI_3002G278800	Uncharacterized protein	OS09G0538000 PROTEIN (PTHR11240:SF57)	endoribonuclease(PC00094)	RNA binding(GO:0003723);ribonuclease T2 activity(GO:0033897)		
SORBI_3002G210401	Hexosyltransferase			hexosyltransferase activity(GO:0016758)	glycoprotein biosynthetic process(GO:0009101)	Golgi membrane(GO:0000139);membrane(GO:0016020)
SORBI_3010G158000	Glycosyltransferases					
SORBI_3001G171200	WIYLD domain-containing protein	NUCLEOLAR HISTONE METHYLTRANSFERASE-RELATED PROTEIN (PTHR34271:SF1)	histone modifying enzyme(PC00261)			
SORBI_3009G172950	DNA helicase	DNA REPLICATION LICENSING FACTOR MCM3-RELATED (PTHR11630:SF46)	DNA metabolism protein(PC00009)	DNA binding(GO:0003677);DNA helicase activity(GO:0003678);single-stranded DNA binding(GO:0003697);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);single-stranded DNA helicase activity(GO:0017116)	double-strand break repair via break-induced replication(GO:0000727);DNA replication(GO:0006260);DNA replication initiation(GO:0006270);DNA strand elongation involved in DNA replication(GO:0006271);mitotic DNA replication initiation(GO:1902975)	chromatin(GO:0000785);nucleus(GO:0005634);MCM complex(GO:0042555)
SORBI_3001G263600	Ubiquitin carboxyl-terminal hydrolase	UBIQUITIN CARBOXYL-TERMINAL HYDROLASE (PTHR21646:SF46)	cysteine protease(PC00081)	cysteine-type deubiquitinase activity(GO:0004843)	endosome organization(GO:0007032);Ras protein signal transduction(GO:0007265);protein deubiquitination(GO:0016579)	
SORBI_3002G155700	Uncharacterized protein					
SORBI_3004G085700	MAPK kinase substrate protein	MAPK KINASE SUBSTRATE PROTEIN (PTHR33730:SF19)				
SORBI_3004G206700	Uncharacterized protein	GOT1_SFT2-LIKE VESCICLE TRANSPORT PROTEIN FAMILY (PTHR21493:SF246)	lipase(PC00143)		"endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);vesicle-mediated transport(GO:0016192);retrograde transport, endosome to Golgi(GO:0042147)"	Golgi membrane(GO:0000139);cytoplasm(GO:0005737);cytosol(GO:0005829);endomembrane system(GO:0012505)
SORBI_3001G273800	Cytochrome b561 domain-containing protein	OS10G0118800 PROTEIN (PTHR10106:SF42)	reductase(PC00198)	oxidoreductase activity(GO:0016491)		membrane(GO:0016020)
SORBI_3001G434700	phosphomevalonate kinase	PHOSPHOMEVALONATE KINASE (PTHR31814:SF2)		phosphomevalonate kinase activity(GO:0004631)	"farnesyl diphosphate biosynthetic process, mevalonate pathway(GO:0010142);isopentenyl diphosphate biosynthetic process, mevalonate pathway(GO:0019287)"	peroxisome(GO:0005777)
SORBI_3010G128500	Uncharacterized protein					
SORBI_3007G113900	Reticulon-like protein	RETICULON-LIKE PROTEIN B21 (PTHR46626:SF1)				endoplasmic reticulum membrane(GO:0005789)
SORBI_3003G269400	FYVE-type domain-containing protein	OS01G0700200 PROTEIN (PTHR22870:SF456)	guanyl-nucleotide exchange factor(PC00113)	metal ion binding(GO:0046872)		
SORBI_3004G059600	FLZ-type domain-containing protein	OS02G0174800 PROTEIN (PTHR47208:SF1)				
SORBI_3009G043400	F-box domain-containing protein	F-BOX DOMAIN CONTAINING PROTEIN (PTHR13318:SF216)				
SORBI_3006G138800	adenine phosphoribosyltransferase	OS04G0504000 PROTEIN (PTHR11776:SF11)	transferase(PC00220)	adenine phosphoribosyltransferase activity(GO:0003999)	adenine salvage(GO:0006168);AMP salvage(GO:0044209)	cytoplasm(GO:0005737)
SORBI_3001G122200	MYND-type domain-containing protein	EG:BACR7C10.4 PROTEIN (PTHR12197:SF251)	histone modifying enzyme(PC00261)	protein-lysine N-methyltransferase activity(GO:0016279);histone methyltransferase activity(GO:0042054)	chromatin remodeling(GO:0006338)	nucleus(GO:0005634)
SORBI_3003G408800	DEK-C domain-containing protein	PROTEIN DEK (PTHR13468:SF1)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677)	chromatin organization(GO:0006325);regulation of double-strand break repair(GO:2000779)	nucleolus(GO:0005730)
SORBI_3010G136300	Uncharacterized protein	PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN 4 (PTHR11362:SF82)	protease inhibitor(PC00191)			
SORBI_3009G039200	Uncharacterized protein	MYB DNA-BINDING DOMAIN SUPERFAMILY PROTEIN-RELATED (PTHR44042:SF32)		DNA binding(GO:0003677)		
SORBI_3002G120900	Uncharacterized protein					
SORBI_3002G179500	Holocarboxylase synthetase	OS09G0360400 PROTEIN (PTHR33675:SF5)	C4 zinc finger nuclear receptor(PC00169)			
SORBI_3003G389800	Uncharacterized protein	CMP-SIALIC ACID TRANSPORTER 3 (PTHR10231:SF86)	transporter(PC00227)	pyrimidine nucleotide-sugar transmembrane transporter activity(GO:0015165)	pyrimidine nucleotide-sugar transmembrane transport(GO:0090481)	Golgi membrane(GO:0000139);membrane(GO:0016020)
SORBI_3003G156600	MADS-box domain-containing protein	MADS TRANSCRIPTION FACTOR (PTHR11945:SF796)	MADS box transcription factor(PC00250)	"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);cis-regulatory region sequence-specific DNA binding(GO:0000987);DNA binding(GO:0003677);protein dimerization activity(GO:0046983)"	regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944)	nucleus(GO:0005634)
SORBI_3010G078500	Secreted protein					
SORBI_3004G040800	C2H2-type domain-containing protein	C2H2-TYPE DOMAIN-CONTAINING PROTEIN (PTHR13165:SF5)		protein-macromolecule adaptor activity(GO:0030674)	RNA metabolic process(GO:0016070);regulatory ncRNA-mediated gene silencing(GO:0031047)	
SORBI_3008G062400	"3'(2'),5'-bisphosphate nucleotidase"	"3'(2'),5'-BISPHOSPHATE NUCLEOTIDASE (PTHR43200:SF6)"	phosphatase(PC00181)	"3'(2'),5'-bisphosphate nucleotidase activity(GO:0008441);inositol bisphosphate phosphatase activity(GO:0016312)"	sulfate assimilation(GO:0000103);sulfur compound metabolic process(GO:0006790);phosphatidylinositol phosphate biosynthetic process(GO:0046854)	
SORBI_3001G287301	Uncharacterized protein					
SORBI_3001G528900	Fe_B12 periplasmic-binding domain-containing protein	F12P19.7 (PTHR38360:SF1)				
SORBI_3004G028100	Uncharacterized protein	OS09G0108400 PROTEIN (PTHR37761:SF2)				
SORBI_3005G108300	Uncharacterized protein					
SORBI_3006G042800	RRM domain-containing protein	OS04G0373100 PROTEIN (PTHR33527:SF6)				
SORBI_3004G006800	Uncharacterized protein	DENEDDYLASE (PTHR35694:SF1)				
SORBI_3001G272100	F-box domain-containing protein	OS02G0272100 PROTEIN (PTHR34791:SF1)				
SORBI_3008G076250	Aldehyde oxygenase (deformylating)	VERY-LONG-CHAIN ALDEHYDE DECARBONYLASE CER1 (PTHR11863:SF193)	oxidase(PC00175)	iron ion binding(GO:0005506)	lipid biosynthetic process(GO:0008610)	
SORBI_3001G400800	Pathogenesis-related protein 10c	OS03G0300400 PROTEIN (PTHR31213:SF201)		protein phosphatase inhibitor activity(GO:0004864);abscisic acid binding(GO:0010427);signaling receptor activity(GO:0038023)	defense response(GO:0006952);abscisic acid-activated signaling pathway(GO:0009738)	nucleus(GO:0005634)
SORBI_3002G121300	Serine carboxypeptidase-like 19	SERINE CARBOXYPEPTIDASE-LIKE 19 (PTHR11802:SF260)	serine protease(PC00203)	serine-type carboxypeptidase activity(GO:0004185)	proteolysis(GO:0006508)	
SORBI_3006G025300	ABC transporter domain-containing protein	OS04G0194500 PROTEIN (PTHR48041:SF77)	ATP-binding cassette (ABC) transporter(PC00003)	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3003G185000	Agenet domain-containing protein	OS01G0556800 PROTEIN (PTHR31917:SF150)				
SORBI_3005G098800	AAA+ ATPase domain-containing protein	ATPASE FAMILY GENE 2 PROTEIN HOMOLOG A (PTHR23077:SF27)	primary active transporter(PC00068)	calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	ribosomal large subunit biogenesis(GO:0042273)	nuclear envelope(GO:0005635);mitochondrion(GO:0005739)
SORBI_3001G211000	Uncharacterized protein	RIPENING-RELATED PROTEIN 6-RELATED (PTHR33191:SF80)				extracellular region(GO:0005576)
SORBI_3009G086200	UBC core domain-containing protein	OS05G0232500 PROTEIN (PTHR46116:SF10)	ubiquitin-protein ligase(PC00234)	ubiquitin conjugating enzyme activity(GO:0061631)		
SORBI_3001G273400	Uncharacterized protein					
SORBI_3010G096500	Trichome birefringence-like N-terminal domain-containing protein	TRICHOME BIREFRINGENCE-LIKE N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR32285:SF156)		O-acetyltransferase activity(GO:0016413);transferase activity(GO:0016740);xylan O-acetyltransferase activity(GO:1990538)	xylan biosynthetic process(GO:0045492)	Golgi membrane(GO:0000139)
SORBI_3009G016633	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR45675:SF50)	homeodomain transcription factor(PC00119)	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3010G144500	Uncharacterized protein					
SORBI_3001G395500	[histone H3]-lysine(27) N-trimethyltransferase	HISTONE-LYSINE N-METHYLTRANSFERASE EZA1 (PTHR45747:SF14)	histone modifying enzyme(PC00261)	chromatin binding(GO:0003682);histone methyltransferase activity(GO:0042054);histone H3K27 methyltransferase activity(GO:0046976);histone H3K27 trimethyltransferase activity(GO:0140951)	"chromatin remodeling(GO:0006338);heterochromatin formation(GO:0031507);regulation of short-day photoperiodism, flowering(GO:0048587)"	nucleus(GO:0005634);PcG protein complex(GO:0031519)
SORBI_3001G114000	CNH domain-containing protein	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR-ASSOCIATED PROTEIN 1 (PTHR12894:SF27)			intracellular protein transport(GO:0006886);vacuole organization(GO:0007033);vesicle-mediated transport(GO:0016192)	cytoplasm(GO:0005737);plant-type vacuole membrane(GO:0009705);HOPS complex(GO:0030897)
SORBI_3008G106700	NmrA-like domain-containing protein	PINORESINOL REDUCTASE 1-RELATED (PTHR43349:SF4)	oxidoreductase(PC00176)	pinoresinol reductase activity(GO:0010283);oxidoreductase activity(GO:0016491)	lignan biosynthetic process(GO:0009807)	
SORBI_3003G388300	Ribonuclease T(2)	OS01G0897300 PROTEIN (PTHR11240:SF66)	endoribonuclease(PC00094)	RNA binding(GO:0003723);ribonuclease T2 activity(GO:0033897)		
SORBI_3005G156500	Glycosyltransferase	GLYCOSYLTRANSFERASE (PTHR48047:SF215)	glycosyltransferase(PC00111)	UDP-glycosyltransferase activity(GO:0008194)		
SORBI_3009G125700	Uncharacterized protein					
SORBI_3006G037600	Uncharacterized protein					
SORBI_3002G262900	Protein farnesyltransferase_geranylgeranyltransferase type-1 subunit alpha	PROTEIN FARNESYLTRANSFERASE_GERANYLGERANYLTRANSFERASE TYPE-1 SUBUNIT ALPHA (PTHR11129:SF1)	acyltransferase(PC00042)	protein farnesyltransferase activity(GO:0004660);CAAX-protein geranylgeranyltransferase activity(GO:0004662);protein prenyltransferase activity(GO:0008318);protein heterodimerization activity(GO:0046982)	peptide pheromone maturation(GO:0007323)	CAAX-protein geranylgeranyltransferase complex(GO:0005953);protein farnesyltransferase complex(GO:0005965)
SORBI_3004G038100	Nuclear pore complex protein NUP160 domain-containing protein	NUCLEAR PORE COMPLEX PROTEIN NUP160 (PTHR21286:SF0)	transporter(PC00227)	structural constituent of nuclear pore(GO:0017056)	nucleocytoplasmic transport(GO:0006913)	nucleus(GO:0005634);nuclear pore(GO:0005643)
SORBI_3005G036450	Uncharacterized protein					
SORBI_3006G215600	Protein kinase domain-containing protein	OS04G0616500 PROTEIN (PTHR48006:SF41)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)		plasma membrane(GO:0005886)
SORBI_3005G118300	Phytocyanin domain-containing protein			electron transfer activity(GO:0009055)		
SORBI_3004G194100	Uncharacterized protein	OS05G0587400 PROTEIN (PTHR34462:SF1)				
SORBI_3002G027901	BTB domain-containing protein				protein ubiquitination(GO:0016567)	
SORBI_3001G333300	EID1-like F-box protein 2	"CLOCK COUPLING FACTOR, PUTATIVE, EXPRESSED-RELATED (PTHR31348:SF14)"				
SORBI_3001G171001	WIYLD domain-containing protein					
SORBI_3002G307600	C2 domain-containing protein	OS07G0500300 PROTEIN (PTHR45933:SF4)		GTPase activator activity(GO:0005096)		nucleus(GO:0005634);plasma membrane(GO:0005886)
SORBI_3006G047300	EngC GTPase domain-containing protein	"SMALL RIBOSOMAL SUBUNIT BIOGENESIS GTPASE RSGA 1, MITOCHONDRIAL-RELATED (PTHR32120:SF11)"	RNA metabolism protein(PC00031)	GTPase activity(GO:0003924);GTP binding(GO:0005525);rRNA binding(GO:0019843)	ribosomal small subunit assembly(GO:0000028)	
