Condition	Theme	GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	Best_P_Value	Max_N_Phenotypes	TraitLayers
CTL	Defense and stress signaling	SORBI_3003G186500	DCD domain-containing protein	DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN (PTHR46034:SF9)	NA	NA	response to endoplasmic reticulum stress(GO:0034976)	3.28e-12	50	SumRatio
CTL	Defense and stress signaling	SORBI_3003G099300	DFDF domain-containing protein	OS01G0111200 PROTEIN (PTHR13586:SF12)	RNA metabolism protein(PC00031)	RNA binding(GO:0003723);mRNA binding(GO:0003729)	mRNA processing(GO:0006397);P-body assembly(GO:0033962);stress granule assembly(GO:0034063)	7.04e-11	50	SumRatio
CTL	Defense and stress signaling	SORBI_3005G044000	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein	VAMP PROTEIN SEC22 (PTHR31415:SF167)	NA	NA	defense response to other organism(GO:0098542)	1.18e-11	49	SumRatio
CTL	Defense and stress signaling	SORBI_3005G044100	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein	LATE EMBRYOGENESIS ABUNDANT (LEA) HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY (PTHR31234:SF55)	NA	NA	defense response to other organism(GO:0098542)	1.18e-11	49	SumRatio
CTL	Defense and stress signaling	SORBI_3002G411900	C2 domain-containing protein	OS07G0670200 PROTEIN (PTHR32246:SF24)	NA	NA	defense response(GO:0006952)	3.47e-10	46	SumRatio
CTL	Defense and stress signaling	SORBI_3001G236900	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR27007:SF205)	NA	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);carbohydrate binding(GO:0030246)	defense response to oomycetes(GO:0002229);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);defense response to bacterium(GO:0042742)	3.86e-11	43	SumRatio
CTL	Defense and stress signaling	SORBI_3003G117000	Uncharacterized protein	PROTEIN SENESCENCE-ASSOCIATED GENE 21, MITOCHONDRIAL (PTHR33509:SF5)	NA	NA	response to stress(GO:0006950)	2.15e-11	39	SumRatio
CTL	Defense and stress signaling	SORBI_3004G131800	Sirohydrochlorin ferrochelatase	SIROHYDROCHLORIN FERROCHELATASE, CHLOROPLASTIC (PTHR33542:SF3)	NA	lyase activity(GO:0016829);identical protein binding(GO:0042802);metal ion binding(GO:0046872);sirohydrochlorin ferrochelatase activity(GO:0051266);iron-sulfur cluster binding(GO:0051536)	response to oxidative stress(GO:0006979);siroheme biosynthetic process(GO:0019354)	2.99e-17	38	SumRatio
CTL	Defense and stress signaling	SORBI_3002G345100	Protein kinase domain-containing protein	OS07G0569550 PROTEIN (PTHR27007:SF419)	NA	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);carbohydrate binding(GO:0030246)	defense response to oomycetes(GO:0002229);defense response(GO:0006952);plant-type hypersensitive response(GO:0009626)	5.69e-10	38	SumRatio
CTL	Defense and stress signaling	SORBI_3002G345300	AN1-type domain-containing protein	ZINC FINGER AN1 AND C2H2 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 11 (PTHR14677:SF27)	RNA metabolism protein(PC00031)	zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	NA	5.69e-10	38	SumRatio
CTL	Defense and stress signaling	SORBI_3002G345400	Knottin scorpion toxin-like domain-containing protein	KNOTTIN SCORPION TOXIN-LIKE DOMAIN-CONTAINING PROTEIN (PTHR33147:SF120)	antimicrobial response protein(PC00051)	NA	defense response(GO:0006952)	5.69e-10	38	SumRatio
CTL	Defense and stress signaling	SORBI_3009G152100	BZIP domain-containing protein	OS05G0437700 PROTEIN (PTHR22952:SF453)	basic leucine zipper transcription factor(PC00056)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);abscisic acid-activated signaling pathway(GO:0009738);positive regulation of DNA-templated transcription(GO:0045893)	3.05e-11	37	SumRatio
CTL	Defense and stress signaling	SORBI_3003G224100	Uncharacterized protein	JASMONIC ACID-AMIDO SYNTHETASE JAR1 (PTHR31901:SF50)	NA	ligase activity(GO:0016874);acid-amino acid ligase activity(GO:0016881)	NA	1.02e-09	37	SumRatio
CTL	Defense and stress signaling	SORBI_3003G417350	AB hydrolase-1 domain-containing protein	AB HYDROLASE-1 DOMAIN-CONTAINING PROTEIN (PTHR10992:SF1018)	esterase(PC00097)	catalytic activity(GO:0003824);methyl indole-3-acetate esterase activity(GO:0080030);methyl salicylate esterase activity(GO:0080031);methyl jasmonate esterase activity(GO:0080032)	jasmonic acid metabolic process(GO:0009694);salicylic acid metabolic process(GO:0009696)	5.01e-10	35	SumRatio
CTL	Defense and stress signaling	SORBI_3002G004500	NB-ARC domain-containing protein	NA	NA	ADP binding(GO:0043531)	defense response(GO:0006952)	3.32e-12	34	SumRatio
CTL	Defense and stress signaling	SORBI_3004G068700	Cytochrome P450	OS02G0184900 PROTEIN (PTHR47956:SF144)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);terpene synthase activity(GO:0010333);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)	defense response(GO:0006952);diterpene phytoalexin biosynthetic process(GO:0051502)	6.59e-11	34	SumRatio
CTL	Defense and stress signaling	SORBI_3004G068800	Cytochrome P450	OS02G0184900 PROTEIN (PTHR47956:SF144)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);terpene synthase activity(GO:0010333);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)	defense response(GO:0006952);diterpene phytoalexin biosynthetic process(GO:0051502)	6.59e-11	34	SumRatio
CTL	Defense and stress signaling	SORBI_3004G068900	Cytochrome P450	OS02G0184900 PROTEIN (PTHR47956:SF144)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);terpene synthase activity(GO:0010333);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)	defense response(GO:0006952);diterpene phytoalexin biosynthetic process(GO:0051502)	6.59e-11	34	SumRatio
CTL	Defense and stress signaling	SORBI_3003G416900	AB hydrolase-1 domain-containing protein	ESTERASE PIR7A (PTHR10992:SF1079)	esterase(PC00097)	catalytic activity(GO:0003824);methyl indole-3-acetate esterase activity(GO:0080030);methyl salicylate esterase activity(GO:0080031);methyl jasmonate esterase activity(GO:0080032)	jasmonic acid metabolic process(GO:0009694);salicylic acid metabolic process(GO:0009696)	1.13e-09	31	SumRatio
CTL	Defense and stress signaling	SORBI_3003G417100	AB hydrolase-1 domain-containing protein	AB HYDROLASE-1 DOMAIN-CONTAINING PROTEIN (PTHR10992:SF1017)	esterase(PC00097)	catalytic activity(GO:0003824);methyl indole-3-acetate esterase activity(GO:0080030);methyl salicylate esterase activity(GO:0080031);methyl jasmonate esterase activity(GO:0080032)	jasmonic acid metabolic process(GO:0009694);salicylic acid metabolic process(GO:0009696)	1.13e-09	31	SumRatio
CTL	Defense and stress signaling	SORBI_3003G417200	AB hydrolase-1 domain-containing protein	ESTERASE PIR7B (PTHR10992:SF1004)	esterase(PC00097)	catalytic activity(GO:0003824);methyl indole-3-acetate esterase activity(GO:0080030);methyl salicylate esterase activity(GO:0080031);methyl jasmonate esterase activity(GO:0080032)	jasmonic acid metabolic process(GO:0009694);salicylic acid metabolic process(GO:0009696)	1.13e-09	31	SumRatio
CTL	Defense and stress signaling	SORBI_3002G345500	Knottin scorpion toxin-like domain-containing protein	DEFENSIN-LIKE PROTEIN 2 (PTHR33147:SF149)	antimicrobial response protein(PC00051)	NA	defense response(GO:0006952)	1.17e-09	31	SumRatio
CTL	Defense and stress signaling	SORBI_3002G176700	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR48006:SF38)	NA	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	regulation of innate immune response(GO:0045088)	1.73e-10	30	SumRatio
CTL	Defense and stress signaling	SORBI_3002G219500	AAA+ ATPase domain-containing protein	OS09G0445700 PROTEIN (PTHR23070:SF43)	NA	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	response to stress(GO:0006950)	1.91e-11	22	SumRatio
CTL	Defense and stress signaling	SORBI_3009G049500	Uncharacterized protein	OS05G0240200 PROTEIN (PTHR44083:SF49)	NA	nucleotide binding(GO:0000166);ADP binding(GO:0043531)	innate immune response-activating signaling pathway(GO:0002758);regulation of DNA-templated transcription(GO:0006355);defense response(GO:0006952);plant-type hypersensitive response(GO:0009626);defense response to bacterium(GO:0042742)	1.45e-11	21	SumRatio
CTL	Defense and stress signaling	SORBI_3009G049800	NB-ARC domain-containing protein	OS05G0240200 PROTEIN (PTHR44083:SF49)	NA	ADP binding(GO:0043531)	innate immune response-activating signaling pathway(GO:0002758);regulation of DNA-templated transcription(GO:0006355);defense response(GO:0006952);plant-type hypersensitive response(GO:0009626);defense response to bacterium(GO:0042742)	1.45e-11	21	SumRatio
CTL	Defense and stress signaling	SORBI_3010G161900	Peroxidase	PEROXIDASE (PTHR31388:SF23)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.17e-11	20	SumRatio
CTL	Defense and stress signaling	SORBI_3010G162000	Peroxidase	PEROXIDASE (PTHR31388:SF5)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.17e-11	20	SumRatio
CTL	Defense and stress signaling	SORBI_3002G384300	Uncharacterized protein	TRANSCRIPTION FACTOR MYB124 (PTHR45614:SF76)	homeodomain transcription factor(PC00119)	RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);megasporogenesis(GO:0009554);response to gravity(GO:0009629);response to hormone(GO:0009725);guard cell differentiation(GO:0010052);guard mother cell cytokinesis(GO:0010235);stomatal complex formation(GO:0010376);guard mother cell differentiation(GO:0010444);regulation of DNA endoreduplication(GO:0032875);response to lipid(GO:0033993);root development(GO:0048364);multicellular organismal-level water homeostasis(GO:0050891);positive regulation of response to salt stress(GO:1901002);positive regulation of lateral root development(GO:1901333);positive regulation of response to water deprivation(GO:1902584);regulation of cell cycle G1/S phase transition(GO:1902806);regulation of stomatal complex patterning(GO:2000037)	3.22e-10	19	SumRatio
CTL	Defense and stress signaling	SORBI_3008G088200	Uncharacterized protein	70 KDA HEAT SHOCK PROTEIN (PTHR19375:SF555)	Hsp70 family chaperone(PC00027)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);heat shock protein binding(GO:0031072);protein folding chaperone(GO:0044183);unfolded protein binding(GO:0051082);ATP-dependent protein folding chaperone(GO:0140662)	protein folding(GO:0006457);response to heat(GO:0009408);protein refolding(GO:0042026)	1.58e-12	17	SumRatio
CTL	Defense and stress signaling	SORBI_3001G474001	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein	HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN (PTHR31852:SF150)	NA	NA	defense response to other organism(GO:0098542)	3.33e-11	17	SumRatio
CTL	Defense and stress signaling	SORBI_3005G048800	Uncharacterized protein	HEAT SHOCK PROTEIN (PTHR46922:SF3)	NA	NA	NA	1.63e-09	17	SumRatio
CTL	Defense and stress signaling	SORBI_3008G126600	Calmodulin-binding protein	PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR31713:SF47)	NA	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);calmodulin binding(GO:0005516);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355);regulation of salicylic acid biosynthetic process(GO:0080142)	5.92e-11	15	SumRatio
CTL	Defense and stress signaling	SORBI_3008G126700	Uncharacterized protein	PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR31713:SF84)	NA	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);calmodulin binding(GO:0005516);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355);regulation of salicylic acid biosynthetic process(GO:0080142)	5.92e-11	15	SumRatio
CTL	Defense and stress signaling	SORBI_3005G212600	NB-ARC domain-containing protein	NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR47186:SF51)	NA	NA	innate immune response-activating signaling pathway(GO:0002758);defense response(GO:0006952);plant-type hypersensitive response(GO:0009626);defense response to bacterium(GO:0042742)	2.16e-10	15	SumRatio
CTL	Defense and stress signaling	SORBI_3006G060500	HMA domain-containing protein	OS04G0401100 PROTEIN (PTHR47005:SF11)	NA	NA	regulation of defense response to fungus(GO:1900150)	1.04e-09	14	SumRatio
CTL	Defense and stress signaling	SORBI_3009G204100	Oxidative stress 3	OXIDATIVE STRESS 3 (PTHR33172:SF42)	NA	NA	response to stress(GO:0006950)	1.83e-09	14	SumRatio
CTL	Defense and stress signaling	SORBI_3010G142900	Oleosin	OS06G0473800 PROTEIN (PTHR33203:SF56)	NA	NA	post-embryonic development(GO:0009791);seed oilbody biogenesis(GO:0010344);lipid storage(GO:0019915);reproductive structure development(GO:0048608);response to freezing(GO:0050826)	1.03e-09	13	SumRatio
CTL	Defense and stress signaling	SORBI_3001G533000	Uncharacterized protein	CELL WALL INTEGRITY_STRESS RESPONSE COMPONENT-LIKE PROTEIN (PTHR35310:SF1)	NA	NA	NA	1.47e-09	13	SumRatio
CTL	Defense and stress signaling	SORBI_3005G208100	Protein kinase domain-containing protein	CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 8 (PTHR27002:SF915)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)	immune response(GO:0006955);signal transduction(GO:0007165)	5.86e-13	11	Individual
CTL	Defense and stress signaling	SORBI_3001G205800	Uncharacterized protein	LANC-LIKE PROTEIN 3 (PTHR12736:SF7)	NA	metal ion binding(GO:0046872)	carbohydrate metabolic process(GO:0005975);regulation of abscisic acid-activated signaling pathway(GO:0009787);peptide modification(GO:0031179)	2.56e-12	11	Individual
CTL	Defense and stress signaling	SORBI_3002G041400	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR33704:SF5)	NA	NA	regulation of cellular response to heat(GO:1900034)	7.59e-12	10	Individual
CTL	Defense and stress signaling	SORBI_3002G422300	Ethylene insensitive 3-like DNA-binding domain-containing protein	PROTEIN ETHYLENE-INSENSITIVE 3-LIKE 2 (PTHR33305:SF32)	NA	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	ethylene-activated signaling pathway(GO:0009873);regulation of ethylene-activated signaling pathway(GO:0010104);positive regulation of DNA-templated transcription(GO:0045893);negative regulation of response to salt stress(GO:1901001);regulation of response to wounding(GO:1903034)	2.55e-09	10	SumRatio
CTL	Defense and stress signaling	SORBI_3001G357100	C2H2-type domain-containing protein	C2H2-TYPE DOMAIN-CONTAINING PROTEIN (PTHR45730:SF124)	NA	zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	negative regulation of abscisic acid-activated signaling pathway(GO:0009788)	1.18e-12	9	Individual
CTL	Defense and stress signaling	SORBI_3001G357200	RRM domain-containing protein	RRM DOMAIN-CONTAINING PROTEIN (PTHR48025:SF1)	NA	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729)	mRNA processing(GO:0006397);response to cold(GO:0009409);chloroplast rRNA processing(GO:1901259)	1.18e-12	9	Individual
CTL	Defense and stress signaling	SORBI_3001G178100	Inositol-1-monophosphatase	INOSITOL-1-MONOPHOSPHATASE-RELATED (PTHR20854:SF4)	phosphatase(PC00181)	inositol monophosphate 1-phosphatase activity(GO:0008934);L-galactose-1-phosphate phosphatase activity(GO:0010347);hydrolase activity(GO:0016787);metal ion binding(GO:0046872);inositol monophosphate phosphatase activity(GO:0052834)	inositol metabolic process(GO:0006020);inositol biosynthetic process(GO:0006021);signal transduction(GO:0007165);response to cold(GO:0009409);L-ascorbic acid biosynthetic process(GO:0019853);phosphatidylinositol phosphate biosynthetic process(GO:0046854)	2.4e-09	9	SumRatio
CTL	Defense and stress signaling	SORBI_3009G077100	Mediator of RNA polymerase II transcription subunit 32	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 32 (PTHR35989:SF1)	general transcription factor(PC00259)	NA	regulation of DNA-templated transcription(GO:0006355);cold acclimation(GO:0009631);leaf senescence(GO:0010150);root development(GO:0048364)	1.96e-10	8	Individual;SumRatio
CTL	Defense and stress signaling	SORBI_3006G158200	Protein kinase domain-containing protein	L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE SIT2 (PTHR27007:SF153)	NA	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);carbohydrate binding(GO:0030246)	defense response to oomycetes(GO:0002229);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);defense response to bacterium(GO:0042742);negative regulation of response to salt stress(GO:1901001)	2.26e-10	8	Individual;SumRatio
CTL	Defense and stress signaling	SORBI_3006G158266	Protein kinase domain-containing protein	OS04G0531500 PROTEIN (PTHR27007:SF57)	NA	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);carbohydrate binding(GO:0030246)	defense response to oomycetes(GO:0002229);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);defense response to bacterium(GO:0042742);negative regulation of response to salt stress(GO:1901001)	2.26e-10	8	Individual;SumRatio
CTL	Defense and stress signaling	SORBI_3005G074400	Protein disulfide-isomerase	PROTEIN DISULFIDE-ISOMERASE A3 (PTHR18929:SF132)	chaperone(PC00072)	protein disulfide isomerase activity(GO:0003756);isomerase activity(GO:0016853)	protein folding(GO:0006457);endosperm development(GO:0009960);protein folding in endoplasmic reticulum(GO:0034975);response to endoplasmic reticulum stress(GO:0034976)	3.9e-09	7	SumRatio
CTL	Defense and stress signaling	SORBI_3006G277500	Peroxidase	PEROXIDASE (PTHR31235:SF373)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.54e-10	6	Individual
CTL	Defense and stress signaling	SORBI_3006G277550	Plant heme peroxidase family profile domain-containing protein	NA	NA	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.54e-10	6	Individual
CTL	Defense and stress signaling	SORBI_3006G277600	Peroxidase	PEROXIDASE (PTHR31235:SF398)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.54e-10	6	Individual
CTL	Defense and stress signaling	SORBI_3006G277700	Peroxidase	PEROXIDASE (PTHR31235:SF219)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.54e-10	6	Individual
CTL	Defense and stress signaling	SORBI_3001G259600	Protein TIFY	PROTEIN TIFY (PTHR33077:SF121)	NA	NA	response to wounding(GO:0009611);regulation of defense response(GO:0031347);regulation of jasmonic acid mediated signaling pathway(GO:2000022)	1.41e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3001G259700	Protein TIFY	PROTEIN TIFY (PTHR33077:SF124)	NA	NA	response to wounding(GO:0009611);regulation of defense response(GO:0031347);regulation of jasmonic acid mediated signaling pathway(GO:2000022)	1.41e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3002G391700	Peroxidase	PEROXIDASE (PTHR31235:SF286)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.79e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3002G391800	Peroxidase	PEROXIDASE (PTHR31235:SF286)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.79e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3002G391900	Plant heme peroxidase family profile domain-containing protein	OS07G0638600 PROTEIN (PTHR31235:SF163)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.79e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3002G392000	Peroxidase	PEROXIDASE (PTHR31235:SF175)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.79e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3002G392100	Peroxidase	PEROXIDASE (PTHR31235:SF175)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	2.79e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3009G191000	MATH domain-containing protein	TRAF-LIKE SUPERFAMILY PROTEIN (PTHR47477:SF19)	NA	NA	innate immune response(GO:0045087);autophagosome organization(GO:1905037)	3.07e-09	6	SumRatio
CTL	Defense and stress signaling	SORBI_3006G279100	Protein kinase domain-containing protein	SERINE_THREONINE-PROTEIN KINASE SAPK5 (PTHR24343:SF521)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	abscisic acid-activated signaling pathway(GO:0009738)	3.1e-10	5	Individual
CTL	Defense and stress signaling	SORBI_3002G366900	Protein kinase domain-containing protein	OS07G0602700 PROTEIN (PTHR27000:SF811)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	response to cold(GO:0009409);response to water deprivation(GO:0009414);longitudinal axis specification(GO:0009942);radial axis specification(GO:0009945);embryonic meristem development(GO:0048508)	1.33e-09	5	SumRatio
CTL	Defense and stress signaling	SORBI_3010G095500	Uncharacterized protein	STRESS INDUCED PROTEIN (PTHR33168:SF93)	NA	NA	NA	1.43e-09	5	SumRatio
CTL	Defense and stress signaling	SORBI_3001G223550	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein (Fragment)	LEUCINE RICH REPEAT FAMILY PROTEIN (PTHR27004:SF220)	NA	NA	defense response(GO:0006952);brassinosteroid mediated signaling pathway(GO:0009742);post-embryonic development(GO:0009791);response to other organism(GO:0051707)	3.17e-09	5	Individual
CTL	Defense and stress signaling	SORBI_3003G082100	SHSP domain-containing protein	16.9 KDA CLASS I HEAT SHOCK PROTEIN 1 (PTHR11527:SF351)	chaperone(PC00072)	unfolded protein binding(GO:0051082)	protein folding(GO:0006457);response to heat(GO:0009408);response to salt stress(GO:0009651);response to hydrogen peroxide(GO:0042542);protein complex oligomerization(GO:0051259)	3.81e-09	5	SumRatio
CTL	Defense and stress signaling	SORBI_3003G082200	16.9 kDa class 1 small heat shock protein	16.9 KDA CLASS I HEAT SHOCK PROTEIN 1 (PTHR11527:SF348)	chaperone(PC00072)	unfolded protein binding(GO:0051082)	protein folding(GO:0006457);response to heat(GO:0009408);response to salt stress(GO:0009651);response to hydrogen peroxide(GO:0042542);protein complex oligomerization(GO:0051259)	3.81e-09	5	SumRatio
CTL	Defense and stress signaling	SORBI_3003G082300	SHSP domain-containing protein	17.9 KDA HEAT SHOCK PROTEIN 2 (PTHR11527:SF370)	chaperone(PC00072)	unfolded protein binding(GO:0051082)	protein folding(GO:0006457);response to heat(GO:0009408);response to salt stress(GO:0009651);response to hydrogen peroxide(GO:0042542);protein complex oligomerization(GO:0051259)	3.81e-09	5	SumRatio
